"id","prediction"
3,"4"
6,"4"
9,"4"
11,"4"
12,"1"
14,"4"
15,"4"
16,"1"
18,"4"
19,"4"
21,"3"
22,"4"
23,"4"
24,"4"
25,"4"
26,"4"
27,"2"
29,"1"
30,"4"
33,"4"
34,"2"
36,"4"
37,"4"
38,"3"
39,"4"
40,"3"
41,"4"
42,"4"
43,"4"
44,"4"
45,"4"
47,"4"
48,"4"
49,"4"
50,"2"
51,"4"
53,"2"
55,"4"
57,"4"
60,"2"
61,"4"
62,"4"
67,"1"
68,"4"
69,"4"
70,"4"
75,"4"
76,"4"
77,"4"
78,"4"
79,"4"
81,"4"
82,"4"
84,"4"
85,"4"
86,"4"
87,"4"
92,"4"
93,"1"
95,"4"
96,"4"
97,"4"
99,"2"
100,"4"
101,"4"
102,"4"
104,"4"
106,"4"
107,"4"
111,"4"
114,"2"
116,"4"
117,"3"
118,"4"
120,"4"
121,"2"
123,"3"
125,"4"
127,"4"
128,"4"
129,"4"
130,"2"
131,"4"
132,"4"
133,"4"
134,"1"
137,"3"
138,"4"
139,"4"
140,"3"
141,"2"
142,"1"
144,"4"
146,"4"
147,"4"
148,"4"
149,"4"
150,"4"
152,"4"
153,"4"
154,"2"
155,"4"
156,"4"
157,"4"
158,"2"
159,"4"
160,"4"
162,"4"
163,"4"
165,"4"
166,"4"
167,"1"
168,"4"
169,"3"
170,"4"
174,"1"
175,"3"
177,"4"
178,"4"
179,"2"
180,"4"
182,"3"
184,"4"
185,"4"
186,"4"
187,"2"
188,"4"
190,"2"
191,"3"
192,"4"
193,"2"
196,"4"
198,"4"
202,"2"
203,"4"
205,"4"
206,"4"
207,"4"
208,"4"
209,"2"
210,"4"
212,"4"
213,"4"
216,"4"
219,"3"
222,"4"
223,"4"
224,"4"
225,"4"
226,"2"
227,"4"
229,"4"
231,"3"
233,"4"
234,"4"
235,"4"
236,"4"
237,"3"
238,"4"
239,"4"
240,"4"
242,"3"
244,"4"
246,"4"
250,"4"
251,"4"
254,"4"
255,"4"
256,"3"
257,"4"
258,"2"
259,"4"
260,"4"
261,"4"
262,"2"
263,"3"
264,"2"
267,"4"
270,"4"
272,"4"
273,"4"
274,"4"
277,"3"
278,"4"
280,"2"
282,"2"
283,"4"
284,"4"
285,"4"
286,"4"
287,"2"
288,"2"
291,"2"
292,"1"
293,"4"
294,"4"
297,"4"
298,"3"
301,"4"
303,"4"
304,"4"
306,"4"
308,"4"
309,"4"
310,"3"
311,"4"
312,"4"
313,"4"
314,"4"
315,"1"
316,"4"
317,"1"
318,"4"
319,"2"
320,"3"
324,"4"
325,"4"
326,"4"
327,"3"
328,"4"
329,"4"
330,"4"
331,"4"
332,"4"
333,"4"
335,"4"
337,"1"
340,"2"
342,"4"
343,"4"
345,"4"
347,"4"
349,"4"
350,"3"
351,"2"
352,"4"
353,"4"
354,"4"
355,"4"
356,"4"
357,"3"
359,"4"
360,"1"
361,"2"
362,"4"
363,"4"
365,"4"
368,"4"
369,"4"
370,"4"
373,"4"
375,"4"
376,"4"
377,"2"
378,"4"
379,"4"
380,"4"
382,"1"
383,"4"
384,"4"
385,"4"
386,"4"
387,"4"
390,"4"
391,"4"
394,"4"
395,"3"
397,"2"
400,"2"
401,"4"
402,"4"
403,"4"
404,"3"
405,"4"
407,"4"
408,"2"
409,"4"
410,"1"
411,"4"
413,"4"
416,"3"
417,"4"
419,"4"
420,"4"
421,"4"
423,"4"
426,"4"
427,"4"
429,"2"
430,"4"
431,"4"
432,"4"
433,"4"
434,"4"
436,"3"
439,"4"
441,"4"
443,"4"
445,"2"
446,"1"
447,"2"
448,"4"
450,"4"
452,"4"
453,"4"
454,"4"
455,"4"
456,"4"
457,"2"
458,"4"
462,"4"
463,"4"
464,"2"
465,"4"
466,"2"
467,"4"
469,"4"
470,"4"
471,"4"
474,"4"
475,"4"
477,"4"
478,"4"
479,"4"
480,"4"
481,"4"
482,"1"
483,"4"
484,"4"
485,"4"
486,"4"
488,"4"
489,"2"
490,"4"
491,"4"
492,"4"
493,"2"
494,"4"
496,"4"
497,"4"
498,"3"
500,"4"
501,"4"
505,"3"
506,"3"
508,"4"
509,"4"
510,"4"
511,"2"
514,"4"
515,"4"
516,"4"
517,"4"
519,"3"
520,"4"
521,"3"
523,"4"
525,"4"
526,"4"
527,"4"
528,"4"
529,"4"
531,"4"
532,"4"
533,"4"
534,"4"
536,"4"
537,"4"
538,"4"
542,"2"
543,"4"
545,"4"
546,"4"
547,"4"
549,"2"
550,"4"
553,"4"
554,"4"
555,"2"
557,"1"
559,"4"
560,"3"
561,"4"
562,"4"
565,"4"
566,"3"
568,"4"
569,"4"
570,"4"
571,"1"
572,"1"
575,"4"
576,"4"
579,"4"
580,"4"
582,"4"
583,"1"
585,"4"
586,"2"
589,"4"
590,"3"
591,"4"
593,"4"
594,"4"
595,"2"
597,"4"
598,"4"
599,"3"
600,"4"
601,"2"
602,"4"
604,"4"
606,"4"
608,"4"
609,"4"
610,"4"
612,"4"
614,"4"
615,"4"
616,"4"
617,"4"
618,"4"
619,"4"
620,"4"
621,"4"
624,"3"
627,"4"
628,"4"
629,"4"
630,"4"
634,"4"
637,"4"
638,"4"
639,"2"
640,"4"
641,"4"
642,"4"
643,"4"
644,"4"
645,"4"
646,"1"
648,"4"
649,"4"
650,"4"
651,"4"
652,"4"
654,"4"
655,"3"
656,"4"
658,"3"
659,"4"
660,"4"
661,"4"
666,"3"
667,"4"
668,"4"
669,"1"
670,"4"
671,"2"
675,"4"
677,"4"
679,"4"
680,"4"
681,"4"
682,"4"
683,"4"
684,"4"
685,"4"
686,"2"
690,"3"
692,"2"
693,"4"
694,"3"
696,"4"
699,"4"
700,"4"
701,"4"
702,"4"
704,"4"
706,"2"
707,"4"
708,"4"
709,"4"
712,"4"
713,"3"
714,"4"
715,"4"
716,"4"
717,"4"
718,"4"
719,"4"
720,"4"
721,"4"
722,"4"
724,"4"
727,"4"
728,"3"
729,"4"
731,"4"
733,"4"
734,"2"
735,"4"
736,"3"
737,"4"
738,"3"
739,"4"
741,"4"
742,"3"
744,"4"
745,"4"
746,"4"
748,"4"
749,"4"
752,"4"
753,"3"
754,"4"
756,"1"
757,"4"
758,"2"
759,"4"
760,"4"
761,"4"
764,"4"
765,"4"
768,"4"
769,"4"
770,"4"
772,"4"
774,"4"
775,"4"
776,"4"
777,"4"
778,"1"
781,"4"
782,"4"
783,"4"
785,"2"
786,"4"
788,"3"
789,"4"
790,"3"
791,"4"
792,"2"
794,"4"
795,"4"
796,"4"
797,"2"
798,"2"
800,"4"
801,"3"
802,"4"
803,"4"
804,"4"
805,"2"
806,"4"
807,"2"
808,"4"
809,"2"
812,"4"
813,"4"
814,"4"
815,"4"
817,"4"
819,"4"
820,"4"
822,"2"
825,"4"
826,"4"
827,"4"
828,"2"
830,"2"
832,"4"
833,"4"
834,"4"
836,"4"
837,"4"
839,"4"
841,"4"
843,"4"
846,"4"
847,"4"
848,"4"
849,"1"
850,"2"
851,"3"
852,"4"
853,"4"
855,"3"
858,"3"
859,"4"
861,"4"
862,"4"
864,"4"
866,"4"
868,"4"
870,"2"
872,"4"
873,"4"
874,"3"
875,"4"
877,"3"
879,"4"
880,"3"
882,"2"
883,"4"
884,"4"
885,"4"
888,"3"
889,"3"
891,"4"
893,"4"
894,"4"
895,"4"
896,"4"
897,"4"
899,"4"
901,"4"
903,"4"
904,"4"
905,"4"
909,"4"
910,"4"
911,"4"
912,"4"
914,"4"
917,"2"
918,"2"
919,"4"
920,"4"
921,"4"
922,"4"
926,"3"
927,"1"
929,"3"
931,"3"
933,"4"
934,"2"
936,"4"
937,"4"
938,"2"
939,"4"
940,"4"
941,"4"
942,"2"
943,"4"
945,"4"
946,"4"
948,"3"
950,"4"
952,"3"
953,"4"
955,"4"
956,"4"
959,"4"
960,"4"
961,"4"
962,"4"
964,"2"
967,"4"
968,"4"
969,"4"
971,"4"
972,"4"
974,"4"
975,"3"
976,"2"
978,"4"
980,"4"
981,"4"
982,"4"
983,"4"
984,"4"
985,"4"
986,"4"
987,"2"
988,"4"
990,"4"
991,"4"
992,"4"
994,"2"
995,"4"
996,"4"
999,"4"
1000,"4"
1001,"4"
1002,"4"
1003,"3"
1005,"4"
1006,"4"
1007,"4"
1009,"3"
1010,"4"
1012,"4"
1013,"4"
1014,"4"
1015,"3"
1016,"4"
1018,"2"
1019,"1"
1020,"4"
1021,"4"
1022,"4"
1023,"4"
1024,"4"
1027,"1"
1028,"1"
1030,"4"
1031,"3"
1032,"4"
1033,"4"
1034,"4"
1036,"3"
1037,"3"
1038,"4"
1039,"4"
1040,"1"
1042,"4"
1043,"4"
1045,"4"
1046,"4"
1049,"3"
1050,"4"
1051,"3"
1052,"4"
1054,"4"
1055,"4"
1056,"4"
1058,"4"
1059,"4"
1062,"4"
1064,"1"
1065,"4"
1066,"4"
1067,"4"
1068,"4"
1069,"3"
1071,"2"
1074,"4"
1076,"4"
1077,"4"
1079,"4"
1080,"4"
1081,"4"
1082,"3"
1085,"3"
1086,"1"
1087,"4"
1089,"4"
1090,"4"
1091,"4"
1092,"2"
1093,"4"
1094,"4"
1095,"4"
1097,"4"
1098,"4"
1099,"4"
1100,"4"
1102,"4"
1103,"4"
1104,"4"
1106,"3"
1107,"4"
1108,"4"
1109,"4"
1110,"2"
